"p_value","log10FDR","distal_fold_change","proximal_fold_change","gene","Change"
"NM_000203",0.0543045144955971,1.26516406472003,-0.258373028463931,0.258373028463931,"IDUA","No Change"
"NM_000204",0.378143019680092,0.422343912040047,0.301454470499433,-0.301454470499433,"CFI","No Change"
"NM_000206",0.586144823772554,0.231995065902585,0.173189018764206,-0.173189018764206,"IL2RG","No Change"
"NM_000208",2.43543012835574e-05,4.61342432567128,-0.593213287268121,0.593213287268121,"INSR","Upregulated in Normoxic"
"NM_000210",0.418624815645429,0.378175030707235,-0.0468345999125012,0.0468345999125014,"ITGA6","No Change"
"NM_000211",0.040227818341534,1.39547351970129,0.591535154644643,-0.591535154644642,"ITGB2","Upregulated in Hypoxia"
"NM_000212",0.777448639444445,0.109328292130882,-0.0416398500846317,0.0416398500846316,"ITGB3","No Change"
"NM_000214",0.745207007691323,0.127723069788459,-0.0183481733396718,0.0183481733396716,"JAG1","No Change"
"NM_000215",0.147648850995844,0.830769928367757,-0.163162428117317,0.163162428117317,"JAK3","No Change"
"NM_000216",0.528382245320933,0.277051783958142,0.10783902147693,-0.10783902147693,"KAL1","No Change"
"NM_000218",0.615064911824906,0.211079047867295,-0.150886456360753,0.150886456360753,"KCNQ1","No Change"
"NM_000227",0.128887894539022,0.889787870713211,0.19249541301764,-0.19249541301764,"LAMA3","No Change"
"NM_000229",0.200341555889469,0.698228957737852,-0.119701803281661,0.119701803281661,"LCAT","No Change"
"NM_000231",0.0039068115149926,2.40817754090555,-1.07784483868874,1.07784483868874,"SGCG","Upregulated in Normoxic"
"NM_000232",0.823068828280524,0.0845638458417248,0.0245994230876628,-0.0245994230876628,"SGCB","No Change"
"NM_000234",0.753955050558174,0.122654545213051,-0.0181353402102251,0.0181353402102249,"LIG1","No Change"
"NM_000235",0.55211610377104,0.257969585450145,-0.0184239563671717,0.0184239563671717,"LIPA","No Change"
"NM_000239",0.0211398806324916,1.67489746928955,-0.452864789325032,0.452864789325031,"LYZ","Upregulated in Normoxic"
"NM_000240",0.932322985390709,0.0304336085976745,0.00877419014045475,-0.00877419014045467,"MAOA","No Change"
"NM_000245",0.0890369602304992,1.05042967546643,-0.126135405470407,0.126135405470408,"MET","No Change"
"NM_000249",0.611873173365026,0.213338587357259,-0.0209046114972409,0.020904611497241,"MLH1","No Change"
"NM_000250",0.288320388052531,0.540124646180499,0.390315069867613,-0.390315069867613,"MPO","No Change"
"NM_000251",0.158525090011644,0.799901991545518,-0.0498692494246046,0.0498692494246047,"MSH2","No Change"
"NM_000252",0.28152993810207,0.550475415160114,0.0753304075924462,-0.0753304075924463,"MTM1","No Change"
"NM_000254",0.0248730952525528,1.60427016698339,-0.196965570594923,0.196965570594923,"MTR","Upregulated in Normoxic"
"NM_000255",4.43854075290327e-05,4.35275978824741,-0.287830317680934,0.287830317680934,"MUT","Upregulated in Normoxic"
"NM_000259",0.0941830867751006,1.02602708000686,-0.151101127150657,0.151101127150657,"MYO5A","No Change"
"NM_000262",0.844027419889097,0.0736434442356073,-0.00996111005020163,0.00996111005020147,"NAGA","No Change"
"NM_000263",0.594700482631343,0.225701709047311,-0.0161328550546836,0.0161328550546836,"NAGLU","No Change"
"NM_000267",0.0123066260793695,1.90986099466819,-0.116425423198985,0.116425423198985,"NF1","Upregulated in Normoxic"
"NM_000270",0.164784843719553,0.783082735549472,-0.24031432933371,0.24031432933371,"PNP","No Change"
"NM_000271",0.863461177788861,0.0637571840387294,0.00492668107992668,-0.00492668107992656,"NPC1","No Change"
"NM_000273",0.540865488411731,0.266910729170841,-0.189902058546491,0.189902058546491,"GPR143","No Change"
"NM_000275",0.00336854955650231,2.47255705913001,-0.998397895403499,0.998397895403498,"OCA2","Upregulated in Normoxic"
"NM_000281",0.125502803383176,0.901346573145124,0.0492337287772747,-0.0492337287772747,"PCBD1","No Change"
"NM_000286",0.900700574864062,0.045419560071597,-0.0101784040205404,0.0101784040205405,"PEX12","No Change"
"NM_000287",0.118823401980684,0.925098017686584,0.18451224365065,-0.18451224365065,"PEX6","No Change"
"NM_000288",0.715156203474804,0.145599089810045,0.0301568444728246,-0.0301568444728246,"PEX7","No Change"
"NM_000291",0.108342499499618,0.965201149306599,-0.0599647889899421,0.059964788989942,"PGK1","No Change"
"NM_000292",0.828359522959639,0.0817811306679565,0.0175405813091353,-0.0175405813091352,"PHKA2","No Change"
"NM_000294",0.409631777017558,0.387606360508603,-0.0505395520323763,0.0505395520323765,"PHKG2","No Change"
"NM_000296",0.125306090173124,0.902027820751215,-0.0498035559206139,0.049803555920614,"PKD1","No Change"
"NM_000297",0.14753699063855,0.831099079237412,-0.129722735030685,0.129722735030685,"PKD2","No Change"
"NM_000302",0.529299558859099,0.276298467968186,0.0228192137645712,-0.0228192137645711,"PLOD1","No Change"
"NM_000304",0.166748349271004,0.777938456698025,0.140251115457479,-0.140251115457479,"PMP22","No Change"
"NM_000305",0.526258758334392,0.278800663289966,0.0243858139451373,-0.0243858139451371,"PON2","No Change"
"NM_000312",0.290773880848106,0.536444607142411,0.215674101414107,-0.215674101414107,"PROC","No Change"
"NM_000313",0.291259952615752,0.535719225477509,-0.070741591363027,0.070741591363027,"PROS1","No Change"
"NM_000314",0.00652986778389492,2.18509561218682,-0.196509787033274,0.196509787033274,"PTEN","Upregulated in Normoxic"
"NM_000317",0.333843797347317,0.476456688332274,-0.0342699020847459,0.034269902084746,"PTS","No Change"
"NM_000320",0.0787764564623629,1.10360355860499,-0.0835647166391312,0.0835647166391311,"QDPR","No Change"
"NM_000321",0.0664900708202175,1.17724320447058,-0.152066479356656,0.152066479356657,"RB1","No Change"
"NM_000325",0.19789160269471,0.703572634195449,-0.155749232677945,0.155749232677945,"PITX2","No Change"
"NM_000327",0.149171033419549,0.826315501577748,0.129077717108829,-0.129077717108829,"ROM1","No Change"
"NM_000328",0.485345538432986,0.313948958298726,0.0762990107514086,-0.0762990107514086,"RPGR","No Change"
"NM_000331",0.0049494046927215,2.30544703424094,0.545366990141043,-0.545366990141043,"SAA1","Upregulated in Hypoxia"
"NM_000332",0.114905214043911,0.939660263921622,-0.137780193621507,0.137780193621507,"ATXN1","No Change"
"NM_000344",0.0119365528671275,1.92312107412224,0.102227403276058,-0.102227403276058,"SMN1","Upregulated in Hypoxia"
"NM_000346",0.95872160683409,0.018307484766949,0.00658598930614745,-0.00658598930614745,"SOX9","No Change"
"NM_000347",0.338577191834873,0.470342301377375,0.236968675040278,-0.236968675040278,"SPTB","No Change"
"NM_000350",0.538246956768389,0.269018416985074,-0.192645077942396,0.192645077942396,"ABCA4","No Change"
"NM_000351",0.379673890830721,0.420589267116234,-0.110805202359147,0.110805202359147,"STS","No Change"
"NM_000358",0.0400745764518494,1.39713105900742,0.137736736840007,-0.137736736840006,"TGFBI","Upregulated in Hypoxia"
"NM_000359",0.643890940893642,0.191187685092033,-0.0959244199985356,0.0959244199985356,"TGM1","No Change"
"NM_000360",0.754392997571926,0.12240235146106,-0.102759574425201,0.102759574425201,"TH","No Change"
"NM_000361",0.189737157399599,0.721847610211097,0.159862872225863,-0.159862872225863,"THBD","No Change"
"NM_000362",0.459134278483772,0.338060282052942,-0.0834562310925229,0.0834562310925229,"TIMP3","No Change"
"NM_000365",0.662889110863707,0.178559114985557,-0.0101681285815396,0.0101681285815397,"TPI1","No Change"
"NM_000367",0.508147889873315,0.294009873525777,-0.0530783534108783,0.0530783534108785,"TPMT","No Change"
"NM_000370",0.973912811754171,0.0114799210155561,0.00682126585601428,-0.00682126585601412,"TTPA","No Change"
"NM_000373",0.0153395417324411,1.81418761470548,-0.766409372058688,0.766409372058688,"UMPS","Upregulated in Normoxic"
"NM_000374",0.307138152097193,0.512666232999648,-0.0441179790492767,0.0441179790492766,"UROD","No Change"
"NM_000375",0.817196188318635,0.0876736677322531,0.00693938346528251,-0.00693938346528258,"UROS","No Change"
"NM_000376",0.301513278278498,0.520693557301276,0.071403803862712,-0.0714038038627119,"VDR","No Change"
"NM_000377",0.934207145409627,0.029556815275485,0.0324214776923774,-0.0324214776923773,"WAS","No Change"
"NM_000378",0.32326797174574,0.490437321627631,0.160650994683611,-0.160650994683611,"WT1","No Change"
"NM_000379",0.661789545861143,0.179280097573081,0.0770998201026633,-0.0770998201026633,"XDH","No Change"
"NM_000380",0.0278464787760046,1.55522971412883,-0.180093819160604,0.180093819160604,"XPA","Upregulated in Normoxic"
"NM_000382",0.0206120293705675,1.68587924737406,-0.107810204772781,0.107810204772781,"ALDH3A2","Upregulated in Normoxic"
"NM_000386",0.884652074193909,0.0532274998867966,-0.00840611287706452,0.0084061128770646,"BLMH","No Change"
"NM_000387",0.825753460171684,0.083149597799648,-0.011227255423254,0.0112272554232541,"SLC25A20","No Change"
"NM_000390",0.964876277851411,0.0155283708957743,0.00416362494153647,-0.00416362494153635,"CHM","No Change"
"NM_000391",0.868963020291513,0.06099870505313,0.00803092752618082,-0.00803092752618088,"TPP1","No Change"
"NM_000392",0.439462602241052,0.357078076975646,0.11893651047409,-0.11893651047409,"ABCC2","No Change"
"NM_000393",0.0385567479836592,1.4138996032005,-0.193582525081649,0.193582525081649,"COL5A2","Upregulated in Normoxic"
"NM_000396",0.322797786231786,0.491069452359559,-0.104969559601542,0.104969559601542,"CTSK","No Change"
"NM_000397",0.119240005219982,0.923578013627252,-0.39345477739818,0.39345477739818,"CYBB","No Change"
"NM_000400",0.483990971222365,0.315162739977239,0.0269808652609315,-0.0269808652609315,"ERCC2","No Change"
"NM_000401",0.271831989786796,0.565699435865584,0.0640321715270578,-0.0640321715270579,"EXT2","No Change"
"NM_000402",0.110452409360257,0.956824806180488,0.120249042875537,-0.120249042875537,"G6PD","No Change"
"NM_000404",0.597767645336205,0.223467595205431,0.0258688004858215,-0.0258688004858216,"GLB1","No Change"
"NM_000405",0.904374587799364,0.0436516494818798,0.0171956152625217,-0.0171956152625216,"GM2A","No Change"
"NM_000410",0.393614957671176,0.404928406402726,0.058154792729663,-0.0581547927296631,"HFE","No Change"
"NM_000413",0.49022655214752,0.309603169748861,-0.182273393869957,0.182273393869957,"HSD17B1","No Change"
"NM_000416",0.753943068873022,0.122661446978732,-0.0119920602642349,0.011992060264235,"IFNGR1","No Change"
"NM_000419",0.0376649308445169,1.42406282562612,-0.585473382997203,0.585473382997203,"ITGA2B","Upregulated in Normoxic"
"NM_000421",0.975885214782572,0.0106012617576646,0.00114910005349254,-0.00114910005349255,"KRT10","No Change"
"NM_000422",0.986157684416045,0.00605363678651553,-0.00401529633222083,0.00401529633222094,"KRT17","No Change"
"NM_000424",0.0322078417498118,1.49203837631509,0.456744461061409,-0.456744461061409,"KRT5","Upregulated in Hypoxia"
"NM_000425",0.0972996622611584,1.01188866721746,0.204558818126218,-0.204558818126218,"L1CAM","No Change"
"NM_000428",0.00189080921353762,2.72335229013325,-0.603688580428818,0.603688580428818,"LTBP2","Upregulated in Normoxic"
"NM_000429",0.856028809273216,0.0675116190870465,-0.0696054674858667,0.0696054674858665,"MAT1A","No Change"
"NM_000430",0.114144444133539,0.942545222508109,-0.166281172954206,0.166281172954206,"PAFAH1B1","No Change"
"NM_000433",0.191298734221011,0.718287903588224,0.258550939199447,-0.258550939199447,"NCF2","No Change"
"NM_000434",0.188625895965369,0.724398684330248,-0.133274079715283,0.133274079715283,"NEU1","No Change"
"NM_000435",0.778675160698739,0.10864367883349,-0.0275902280883242,0.0275902280883242,"NOTCH3","No Change"
"NM_000436",0.4061261275981,0.391339069838521,-0.0673514519608501,0.0673514519608502,"OXCT1","No Change"
"NM_000437",0.000821002226044466,3.085655665344,-0.201570628058778,0.201570628058778,"PAFAH2","Upregulated in Normoxic"
"NM_000440",0.634758123662999,0.197391732298372,-0.146777077522751,0.146777077522751,"PDE6A","No Change"
"NM_000441",0.302704291190191,0.51898142236351,0.353463668320469,-0.353463668320469,"SLC26A4","No Change"
"NM_000442",0.34574159480645,0.461248369059718,0.31566910441568,-0.31566910441568,"PECAM1","No Change"
"NM_000443",0.867588391169504,0.0616862677283328,0.109591818860321,-0.109591818860321,"ABCB4","No Change"
"NM_000444",0.596090083373637,0.224688103085691,-0.115734339752958,0.115734339752958,"PHEX","No Change"
"NM_000448",0.0238719741916015,1.62211166373034,-0.259563390523541,0.259563390523541,"RAG1","Upregulated in Normoxic"
"NM_000449",0.0723514436465197,1.14055279887166,-0.0814017448256801,0.0814017448256802,"RFX5","No Change"
"NM_000454",0.113384309277542,0.945447041260261,-0.109121722380112,0.109121722380112,"SOD1","No Change"
"NM_000455",0.942570506493833,0.0256861536569856,0.00802344693102415,-0.0080234469310242,"STK11","No Change"
"NM_000462",0.887920301514356,0.0516260141379246,-0.00810778261186491,0.00810778261186472,"UBE3A","No Change"
"NM_000465",0.392080656879451,0.406624582891668,-0.0320569174577345,0.0320569174577345,"BARD1","No Change"
"NM_000466",0.149741883660101,0.82465670801817,-0.111538499963273,0.111538499963273,"PEX1","No Change"
"NM_000474",0.456810598410291,0.340263828628865,0.155142800975617,-0.155142800975617,"TWIST1","No Change"
"NM_000475",0.200255551633737,0.698415435241344,-0.33819726338386,0.338197263383859,"NR0B1","No Change"
"NM_000476",0.184782636944549,0.733338839573917,-0.186165642449523,0.186165642449523,"AK1","No Change"
"NM_000479",0.468898516582609,0.328921141202303,0.0792290962455881,-0.079229096245588,"AMH","No Change"
"NM_000480",0.994340851255571,0.00246471777080771,0.00102161815260876,-0.00102161815260884,"AMPD3","No Change"
"NM_000481",0.0541553474078986,1.26635865381092,-0.171330452153453,0.171330452153453,"AMT","No Change"
"NM_000485",0.850277820854287,0.0704391491678607,-0.00599076951223625,0.00599076951223639,"APRT","No Change"
"NM_000487",0.432823692739409,0.363688974000483,-0.0907740546407504,0.0907740546407505,"ARSA","No Change"
"NM_000494",0.865490395321025,0.0627377472943343,0.0262634039816067,-0.0262634039816066,"COL17A1","No Change"
"NM_000496",0.301615016293151,0.520547040352293,0.374467090793315,-0.374467090793315,"CRYBB2","No Change"
"NM_000499",0.81781922844045,0.0873426825962944,-0.0367067629733146,0.0367067629733145,"CYP1A1","No Change"
"NM_000502",0.148330650872841,0.828769097592598,-0.717580630909325,0.717580630909325,"EPX","No Change"
"NM_000504",0.269928675979113,0.56875097554741,0.205883334171008,-0.205883334171008,"F10","No Change"
"NM_000505",0.475002742361799,0.323303883029536,0.0386412650271194,-0.0386412650271194,"F12","No Change"
"NM_000512",0.730421960399477,0.136426178057354,0.0138057995250304,-0.0138057995250304,"GALNS","No Change"
"NM_000517",0.908823928208093,0.041520247046863,-0.0780025120012732,0.0780025120012732,"HBA2","No Change"
"NM_000520",0.0129923320219441,1.88631288946869,0.26020836175503,-0.26020836175503,"HEXA","Upregulated in Hypoxia"
"NM_000522",0.586046277088729,0.232068088605222,0.079683328891859,-0.079683328891859,"HOXA13","No Change"
"NM_000523",0.507890358070396,0.294230031858485,0.128191863546927,-0.128191863546927,"HOXD13","No Change"
"NM_000525",0.0585100992255919,1.23276916538115,-0.368588576591921,0.368588576591921,"KCNJ11","No Change"
"NM_000527",0.280632933156313,0.551861364495139,-0.0703893278913979,0.070389327891398,"LDLR","No Change"
