Buffa,Winter,Ragnum
TCGA.86.7711.01A.11R.2066.07, 0,-9, 6
TCGA.86.8279.01A.11R.2287.07,-14,-19,-10
TCGA.50.5055.01A.01R.1628.07,-16,-43,-20
TCGA.44.6147.01A.11R.1755.07,-34,-39,-20
TCGA.49.4505.01A.01R.1206.07, 10,  9,-16
TCGA.97.8547.01A.11R.2403.07,-12,-21,-14
TCGA.05.5420.01A.01R.1628.07,  2,-13,  0
TCGA.55.6986.01A.11R.1949.07,-18,-15,-18
TCGA.69.8254.01A.11R.2287.07,-38,-45,-24
TCGA.78.7167.01A.11R.2066.07,-36,-41,-20
TCGA.44.3919.01A.02R.1107.07,-18,-13, -6
TCGA.49.AARR.01A.11R.A41B.07,-40,-33,-24
TCGA.75.6211.01A.11R.1755.07, -8,-17, 10
TCGA.93.7347.01A.11R.2187.07,-38,-47,-16
TCGA.95.7039.01A.11R.1949.07,-6,-9,-2
TCGA.93.A4JP.01A.11R.A24X.07,-42,-37,-20
TCGA.38.4629.01A.02R.1206.07,40,39, 6
TCGA.49.4506.01A.01R.1206.07,14,15, 4
TCGA.MP.A4TK.01A.11R.A24X.07, -2,-15,-10
TCGA.91.6848.01A.11R.1949.07, -2,-17,  2
TCGA.62.A46P.01A.11R.A24H.07,-16,-27,-22
TCGA.97.A4M1.01A.11R.A24X.07,-40,-39,-26
TCGA.49.4494.01A.01R.1206.07,12,15, 2
TCGA.49.6743.01A.11R.1858.07,-6,-3,14
TCGA.MP.A4TD.01A.32R.A262.07,-26,-17,-20
TCGA.55.8089.01A.11R.2241.07, -4,-11,  4
TCGA.97.A4LX.01A.11R.A24X.07,-18,-37,-20
TCGA.44.A47A.01A.21R.A24H.07,-28,-33,-22
TCGA.97.A4M0.01A.11R.A24X.07,-34,-53,-20
TCGA.97.8171.01A.11R.2287.07,-16,-23,-14
TCGA.62.A471.01A.12R.A24H.07,28,23,12
TCGA.05.4410.01A.21R.1858.07,-34,-37,-22
TCGA.55.8205.01A.11R.2241.07, 4,-9,12
TCGA.55.A57B.01A.12R.A39D.07,-34,-35,-18
TCGA.49.4507.01A.01R.1206.07,28,11, 2
TCGA.91.7771.01A.11R.2170.07,-30,-41,-18
TCGA.97.8176.01A.11R.2403.07, 2,-9,12
TCGA.55.7281.01A.11R.2039.07,-24,-25,-20
TCGA.05.4398.01A.01R.1206.07,26,15, 2
TCGA.05.4250.01A.01R.1107.07,18, 7, 4
TCGA.97.7554.01A.11R.2039.07,-34,-29,-14
TCGA.55.6984.01A.11R.1949.07, -8, -1,-20
TCGA.64.5775.01A.01R.1628.07,14,13, 4
TCGA.97.8172.01A.11R.2287.07,-42,-39,-20
TCGA.78.7155.01A.11R.2039.07, -4,-19, 12
TCGA.67.3774.01A.01R.0946.07,-36,-33,-18
TCGA.75.5126.01A.01R.1755.07,22, 5, 4
TCGA.93.A4JN.01A.11R.A24X.07,-30, -9,  0
TCGA.55.7227.01A.11R.2039.07,-32,-29,-18
TCGA.49.AAR4.01A.12R.A41B.07,-10, -9,-16
TCGA.50.6597.01A.11R.1858.07,-24,-31,-24
TCGA.86.8672.01A.21R.2403.07,-4,-3, 4
TCGA.44.7670.01A.11R.2066.07,-4,-5,16
TCGA.NJ.A55O.01A.11R.A262.07,-32,-29,-24
TCGA.75.7025.01A.12R.1949.07,-34,-37,-22
TCGA.05.4427.01A.21R.1858.07,-20,-11,-10
TCGA.78.7158.01A.11R.2039.07,-40,-35,-22
TCGA.05.4390.01A.02R.1755.07,20,13, 4
TCGA.55.8616.01A.11R.2403.07,-14,-19,-16
TCGA.55.6980.01A.11R.1949.07, -8,-13,-16
TCGA.62.8399.01A.21R.2326.07,-28,-21,-14
TCGA.55.A4DG.01A.11R.A24H.07,-36,-33,-22
TCGA.NJ.A4YQ.01A.11R.A262.07,-18,-25, -6
TCGA.69.8253.01A.11R.2287.07,-22, -9,-20
TCGA.55.8087.01A.11R.2241.07,-40,-49,-24
TCGA.62.A46V.01A.11R.A24H.07, -8,-13,-12
TCGA.38.4630.01A.01R.1206.07, -8,-17,  2
TCGA.49.6744.01A.11R.1858.07,-30,-43,-18
TCGA.44.2666.01A.01R.0946.07,-34,-35,-14
TCGA.49.4512.01A.21R.1858.07,-12,-15,-22
TCGA.44.7662.01A.11R.2066.07,-2, 7, 6
TCGA.97.7937.01A.11R.2170.07,-8,-3,-6
TCGA.05.4415.01A.22R.1858.07,26,19,16
TCGA.97.8174.01A.11R.2287.07,-38,-51,-20
TCGA.50.7109.01A.11R.2039.07,-16,-13,-12
TCGA.NJ.A4YP.01A.11R.A262.07,-26, -5,-12
TCGA.86.8281.01A.11R.2287.07,-38,-35,-20
TCGA.64.1676.01A.01R.0946.07, 16, 11,-12
TCGA.99.7458.01A.11R.2039.07,-28,-39,-18
TCGA.NJ.A55A.01A.11R.A262.07,-40,-45,-22
TCGA.62.A472.01A.11R.A24H.07, -6,-13,-12
TCGA.55.8614.01A.11R.2403.07,-16, -1,-10
TCGA.55.8514.01A.11R.2403.07,-18,-21,-16
TCGA.05.4422.01A.01R.1206.07,-22,-27,-10
TCGA.05.4403.01A.01R.1206.07,-20,-21,-12
TCGA.75.5147.01A.01R.1628.07, 8,-5, 2
TCGA.49.AARQ.01A.11R.A41B.07,-4,-9, 6
TCGA.75.6212.01A.11R.1755.07, -6, -7,-12
TCGA.73.4676.01A.01R.1755.07,20, 3,16
TCGA.NJ.A7XG.01A.12R.A39D.07,-28,-25,-22
TCGA.05.4417.01A.22R.1858.07,-34,-37,-20
TCGA.J2.A4AD.01A.11R.A24H.07,-10, -7, -6
TCGA.05.4405.01A.21R.1858.07,-38,-37,-22
TCGA.NJ.A55R.01A.11R.A262.07,-22,-27,-14
TCGA.S2.AA1A.01A.12R.A39D.07,-30,-45,-20
TCGA.L9.A743.01A.43R.A39D.07,-20,-35,-14
TCGA.L9.A5IP.01A.21R.A39D.07,10,17,-8
TCGA.55.8302.01A.11R.2326.07,10,15,-4
TCGA.O1.A52J.01A.11R.A262.07,-32,-29,-24
TCGA.44.7667.01A.31R.2066.07,14, 7,12
TCGA.75.5125.01A.01R.1755.07,12, 7, 6
TCGA.05.4396.01A.21R.1858.07,-30,-33,-22
TCGA.55.7994.01A.11R.2187.07, 0,-3, 4
TCGA.69.7974.01A.11R.2187.07, 0,-5, 2
TCGA.50.6593.01A.11R.1755.07,-16,-15, -8
TCGA.75.7030.01A.11R.1949.07,-30,-31,-12
TCGA.44.2659.01A.01R.0946.07,-32,-43,-22
TCGA.55.7574.01A.11R.2039.07,-32,-41,-20
TCGA.05.4384.01A.01R.1755.07,-44,-35,-24
TCGA.55.8513.01A.11R.2403.07,-40,-49,-22
TCGA.05.4382.01A.01R.1206.07, 8,15,-2
TCGA.99.8025.01A.11R.2241.07,-10, -5,-18
TCGA.69.8453.01A.12R.2326.07,-30,-35,-20
TCGA.99.8028.01A.11R.2241.07,-20,-23,-18
TCGA.75.6206.01A.11R.1755.07,-30,-37,-20
TCGA.99.AA5R.01A.11R.A39D.07,-36,-47,-20
TCGA.49.6742.01A.11R.1858.07,-10,-25, 12
TCGA.35.4122.01A.01R.1107.07,30,17,10
TCGA.55.8301.01A.11R.2287.07,10,-7,-4
TCGA.64.1678.01A.01R.0946.07,18,-1,16
TCGA.55.6971.01A.11R.1949.07,-36,-25,-18
TCGA.69.8255.01A.11R.2287.07,10,-9,12
TCGA.86.8674.01A.21R.2403.07,-20,-21,-22
TCGA.97.8179.01A.11R.2287.07,-26,-29,-16
TCGA.05.4418.01A.01R.1206.07,20,21,-4
TCGA.55.6983.01A.11R.1949.07,-38,-33,-22
TCGA.91.6831.01A.11R.1858.07, 6,-5,10
TCGA.50.6592.01A.11R.1755.07,10, 7,14
TCGA.93.8067.01A.11R.2287.07,4,9,2
TCGA.97.A4M6.01A.11R.A24X.07,-36,-39,-18
TCGA.49.AARO.01A.12R.A41B.07,-10,  1,-16
TCGA.55.6982.01A.11R.1949.07,16,-1,-6
TCGA.78.8655.01A.11R.2403.07,-40,-31,-24
TCGA.91.8496.01A.11R.2403.07,-14,-17,-18
TCGA.44.A4SS.01A.11R.A24X.07,-32,-29,-14
TCGA.78.7152.01A.11R.2039.07,-28,-33,-22
TCGA.91.6847.01A.11R.1949.07,6,9,8
TCGA.44.3918.01A.01R.1107.07,-4, 7,-6
TCGA.55.6543.01A.11R.1755.07,-24, -9,-14
TCGA.50.6595.01A.12R.1858.07,32,41, 6
TCGA.49.6745.01A.11R.1858.07, -6, -9,-10
TCGA.95.8494.01A.11R.2326.07,28,13,10
TCGA.91.6835.01A.11R.1858.07,-44,-43,-18
TCGA.55.6987.01A.11R.1949.07,-12,-17,  0
TCGA.55.8091.01A.11R.2241.07,-18,-11,-12
TCGA.L9.A444.01A.21R.A24H.07,-28,-33,-20
TCGA.95.7948.01A.11R.2187.07,-26,-23,-22
TCGA.95.A4VK.01A.11R.A262.07,-28,-31,-18
TCGA.44.7671.01A.11R.2066.07,-26,-29,-14
TCGA.91.6849.01A.11R.1949.07,-36,-35,-14
TCGA.69.7760.01A.11R.2170.07,-2,-7,-2
TCGA.78.7153.01A.11R.2039.07,-26,-19,-18
TCGA.55.8512.01A.11R.2403.07,-42,-27,-24
TCGA.44.6779.01A.11R.1858.07, 2,-5, 2
TCGA.67.6216.01A.11R.1755.07,-22,-17,-16
TCGA.73.4668.01A.01R.1206.07,  2, 15,-12
TCGA.J2.A4AG.01A.11R.A24H.07,-36,-27,-22
TCGA.44.8120.01A.11R.2241.07,-22,-31,-14
TCGA.38.4626.01A.01R.1206.07,-34,-33,-20
TCGA.91.8499.01A.11R.2403.07,10, 7,14
TCGA.55.6970.01A.11R.1949.07,-26,-27, -2
TCGA.64.5815.01A.01R.1628.07,  8,  9,-10
TCGA.05.4432.01A.01R.1206.07, -6,-23,  0
TCGA.55.8208.01A.11R.2241.07,-32,-33, -6
TCGA.55.8621.01A.11R.2403.07,-26,-41,-16
TCGA.78.7539.01A.11R.2066.07,-38,-37,-22
TCGA.86.7954.01A.11R.2187.07,-24,-45,-12
