Buffa,Winter,Ragnum
TCGA.22.1012.01A.01R.0692.07,40,27,22
TCGA.34.A5IX.01A.12R.A27Q.07,24,19,10
TCGA.98.A538.01A.11R.A262.07,24,33,14
TCGA.56.1622.01A.01R.0692.07,14,19,12
TCGA.22.A5C4.01A.12R.A27Q.07,24,19,16
TCGA.85.A511.01A.21R.A262.07,18,19,24
TCGA.43.2578.01A.01R.0851.07,24,25,14
TCGA.43.8118.01A.11R.2403.07,10,17,16
TCGA.90.6837.01A.11R.1949.07,26,25,10
TCGA.77.7463.01A.11R.2045.07,32,45,18
TCGA.63.A5MI.01A.12R.A27Q.07,30,25,18
TCGA.37.4132.01A.01R.1100.07,22,13,10
TCGA.18.3415.01A.01R.0980.07,32,41,18
TCGA.37.4130.01A.01R.1100.07,  4,-19, 10
TCGA.77.8138.01A.11R.2247.07,16,23,-2
TCGA.18.3414.01A.01R.0980.07,16,21,12
TCGA.85.7697.01A.11R.2125.07,14,39, 6
TCGA.33.AASD.01A.11R.A405.07,32,47,12
TCGA.33.4547.01A.01R.1201.07,16, 9,10
TCGA.56.8308.01A.11R.2296.07,-2,29,-6
TCGA.33.AASB.01A.11R.A405.07,36,35, 8
TCGA.77.8150.01A.11R.2247.07,-2, 3,10
TCGA.NC.A5HO.01A.11R.A26W.07, 2,19, 0
TCGA.85.8071.01A.11R.2247.07, 6,25,10
TCGA.NC.A5HJ.01A.11R.A26W.07,  0,-25, 10
TCGA.43.8116.01A.11R.2247.07, 0,-5, 6
TCGA.94.7557.01A.11R.2125.07,32,19,12
TCGA.98.A53I.01A.31R.A262.07,-12,-19,  4
TCGA.56.7730.01A.11R.2125.07,-2,21,12
TCGA.60.2704.01A.11R.2045.07,-4, 7, 6
TCGA.66.2782.01A.01R.0851.07,24,29,10
TCGA.37.3792.01A.01R.0980.07,14,19,16
TCGA.NC.A5HH.01A.11R.A26W.07,20,13,16
TCGA.22.5474.01A.01R.1635.07, 8, 7,16
TCGA.39.5021.01A.01R.1443.07,26,17,20
TCGA.66.2753.01A.01R.0980.07,30,33,18
TCGA.85.A4QR.01A.11R.A24Z.07,28,11,18
TCGA.63.7023.01A.11R.1949.07, 6,-7,12
TCGA.66.2773.01A.01R.1201.07,16,23, 8
TCGA.70.6722.01A.11R.1820.07,16,23,14
TCGA.22.5489.01A.01R.1635.07,  0,-15,  8
TCGA.77.7141.01A.11R.2045.07, 4,-3,14
TCGA.43.A474.01A.11R.A24H.07,30,41,14
TCGA.77.8143.01A.11R.2247.07,30,23,18
TCGA.58.A46J.01A.11R.A24H.07,36,27,12
TCGA.60.2714.01A.01R.0851.07,26,11,-2
TCGA.43.7657.01A.31R.2125.07,14, 7, 8
TCGA.58.A46N.01A.11R.A24H.07,20,37,12
TCGA.60.2709.01A.21R.1820.07, -6,-15, 10
TCGA.22.5480.01A.01R.1635.07, -6,-35,  4
TCGA.63.A5MS.01A.11R.A26W.07,-12, -9, -6
TCGA.94.7943.01A.11R.2187.07,-10,-17,  6
TCGA.56.8504.01A.11R.2403.07,26,37,14
TCGA.37.3783.01A.01R.1201.07,30,43,12
TCGA.37.4135.01A.01R.1100.07,28,13, 8
TCGA.22.4599.01A.01R.1443.07,28,31,18
TCGA.85.A53L.01A.21R.A26W.07,40,43,14
TCGA.33.4566.01A.01R.1443.07,16,13, 8
TCGA.39.5024.01A.21R.1820.07,36,39,18
TCGA.56.A4BW.01A.11R.A24H.07,14,23, 8
TCGA.63.7021.01A.11R.1949.07,20,27,10
TCGA.90.A59Q.01A.11R.A26W.07,-14, -5, -2
TCGA.60.2719.01A.01R.0851.07,20, 9,10
TCGA.77.8007.01A.11R.2187.07,26,29,10
TCGA.34.8456.01A.21R.2326.07, 6,25,10
TCGA.60.2726.01A.01R.0851.07,14,13,10
TCGA.34.2608.01A.02R.0851.07,-18, 11, -8
TCGA.66.2786.01A.01R.0851.07,28,21,16
TCGA.22.0944.01A.01R.0692.07,36,51,18
TCGA.NC.A5HP.01A.11R.A26W.07,14,21,12
TCGA.66.2744.01A.01R.0980.07,24,35,20
